,eventid,latitude,longitude,guncertain1,property,nwoundte,crit2,country,claim2,nkillter
236,197004270003,42.056459000000004,-87.675267,0.0,1,0.0,1,217,,0.0
237,197004270004,33.882923,-117.92910400000001,0.0,0,0.0,1,217,,0.0
238,197004270005,42.025345,-93.620199,0.0,0,0.0,1,217,,0.0
239,197004270006,38.788097,-90.497479,0.0,1,0.0,1,217,,0.0
240,197004280001,52.50153,13.401851,0.0,1,,1,362,,
241,197004280002,52.50153,13.401851,0.0,1,,1,499,,
242,197004290001,40.697132,-73.931351,1.0,0,0.0,1,217,,0.0
243,197004300001,30.443334999999998,-91.186994,1.0,0,0.0,1,217,,0.0
244,197005000001,42.290156,-71.04897,0.0,1,0.0,1,217,,0.0
245,197005000002,18.386932,-66.061127,0.0,1,0.0,1,217,,0.0
246,197005010002,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
247,197005010003,39.640397,-86.861622,0.0,1,0.0,1,217,,0.0
248,197005010004,41.316324,-72.92234300000001,0.0,1,0.0,1,217,,0.0
249,197005010005,40.697132,-73.931351,1.0,1,0.0,1,217,,0.0
250,197005010006,40.697132,-73.931351,1.0,1,0.0,1,217,,0.0
251,197005010007,40.1142,-88.243499,0.0,1,0.0,1,217,,0.0
252,197005010008,40.1142,-88.243499,0.0,1,0.0,1,217,,0.0
253,197005040001,-25.282773000000002,-57.63561,0.0,0,,1,158,,
254,197005040002,39.645039000000004,-79.183128,0.0,1,0.0,1,217,,0.0
255,197005040003,35.904912,-79.046913,0.0,-9,0.0,1,217,,0.0
256,197005040004,35.22076,-97.44659899999999,0.0,1,0.0,1,217,,0.0
257,197005040005,40.347457,-94.87290899999999,0.0,-9,0.0,1,217,,0.0
258,197005050001,52.50153,13.401851,0.0,1,,1,499,,
259,197005050002,46.404973,-117.00934099999999,0.0,1,0.0,1,217,,0.0
260,197005050004,25.720851,-80.277857,0.0,-9,0.0,1,217,,0.0
261,197005050005,28.538234999999997,-81.37738900000001,0.0,1,0.0,1,217,,0.0
262,197005050006,40.697132,-73.931351,0.0,-9,0.0,1,217,,0.0
263,197005060001,37.791927,-122.22590600000001,0.0,1,0.0,1,217,,0.0
264,197005060002,46.143582,-122.92564499999999,0.0,-9,0.0,1,217,,0.0
265,197005060003,40.336585,-75.92784300000001,0.0,-9,0.0,1,217,,0.0
266,197005060004,45.511795,-122.675629,0.0,1,0.0,1,217,,0.0
267,197005060005,33.73787,-118.28466399999999,0.0,0,0.0,1,217,,0.0
268,197005060006,45.511795,-122.675629,0.0,1,0.0,1,217,,0.0
269,197005060007,42.301631,-71.067605,0.0,1,0.0,1,217,,0.0
270,197005070002,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
271,197005080001,41.356445,-72.096469,0.0,1,0.0,1,217,,0.0
272,197005090001,40.818985,-73.595724,1.0,1,0.0,1,217,,0.0
273,197005090002,34.097865999999996,-118.407379,0.0,1,0.0,1,217,,0.0
274,197005090003,38.551295,-121.471066,0.0,0,0.0,1,217,,0.0
275,197005100001,52.50153,13.401851,0.0,1,,1,499,,
276,197005100002,38.908642,-77.015381,0.0,1,0.0,1,217,,0.0
277,197005120001,46.198392,6.142296,0.0,1,,1,199,,
278,197005120002,29.813822,-95.36529499999999,0.0,1,0.0,1,217,,0.0
279,197005120003,42.331685,-83.047924,0.0,1,0.0,1,217,,0.0
280,197005130001,41.579662,-93.62150600000001,1.0,1,0.0,1,217,,0.0
281,197005130002,40.759505,-111.88822900000001,0.0,1,0.0,1,217,,0.0
282,197005130003,36.312,-78.5882,0.0,1,0.0,1,217,,0.0
283,197005130004,25.774591,-80.21419499999999,0.0,-9,0.0,1,217,,0.0
284,197005140001,42.45717,-71.064049,0.0,-9,0.0,1,217,,0.0
285,197005140002,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
286,197005140003,33.783823999999996,-118.11408999999999,0.0,0,0.0,1,217,,0.0
287,197005140004,36.312,-78.5882,0.0,1,0.0,1,217,,0.0
288,197005150001,52.50153,13.401851,0.0,1,,1,362,,
289,197005150002,-34.891151,-56.187214000000004,0.0,1,,1,218,,
290,197005150003,52.50153,13.401851,0.0,1,,1,362,,
291,197005150004,47.610786,-122.33130600000001,0.0,0,0.0,1,217,,1.0
292,197005160001,40.697132,-73.931351,0.0,1,,1,217,,
293,197005190001,38.550245000000004,-90.332723,0.0,1,0.0,1,217,,0.0
294,197005200001,30.588140999999997,-84.580929,0.0,1,0.0,1,217,,0.0
295,197005200002,40.201190000000004,-77.18916899999999,0.0,0,0.0,1,217,,0.0
296,197005200003,25.774591,-80.21419499999999,0.0,-9,0.0,1,217,,0.0
297,197005210001,35.76625,-117.370674,0.0,1,0.0,1,217,,0.0
298,197005220001,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
299,197005220002,44.946604,-93.13644599999999,0.0,0,0.0,1,217,,0.0
300,197005220003,42.025345,-93.620199,1.0,1,0.0,1,217,,0.0
301,197005250001,36.312,-78.5882,0.0,1,0.0,1,217,,0.0
302,197005260001,36.312,-78.5882,0.0,1,0.0,1,217,,0.0
303,197005260002,36.312,-78.5882,0.0,1,0.0,1,217,,0.0
304,197005270001,34.097865999999996,-118.407379,0.0,1,0.0,1,217,,0.0
305,197005270002,42.301631,-71.067605,0.0,1,0.0,1,217,,0.0
306,197005270003,42.301631,-71.067605,0.0,1,0.0,1,217,,0.0
307,197005280001,38.579065,-121.49101399999999,0.0,0,,1,217,,
308,197005280002,33.44826,-112.075774,0.0,0,0.0,1,217,,0.0
309,197005280003,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
310,197005280004,33.882923,-117.92910400000001,0.0,1,0.0,1,217,,0.0
311,197005290001,-34.61768,-58.444435,0.0,0,,1,11,,
312,197005290002,-34.891151,-56.187214000000004,0.0,1,,1,218,,
313,197005290004,37.791927,-122.22590600000001,1.0,-9,0.0,1,217,,0.0
314,197005290005,32.715695000000004,-117.16171899999999,0.0,1,0.0,1,217,,0.0
315,197005300001,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
316,197006010001,,,0.0,0,,1,11,,
317,197006020001,11.586558,122.753716,0.0,1,,1,160,,
318,197006020002,30.443334999999998,-91.186994,0.0,1,0.0,1,217,,0.0
319,197006020003,41.524935,-88.084594,0.0,1,0.0,1,217,,0.0
320,197006030001,45.511795,-122.675629,0.0,-9,0.0,1,217,,0.0
321,197006040001,37.791927,-122.22590600000001,1.0,1,0.0,1,217,,0.0
322,197006050001,34.097865999999996,-118.407379,0.0,1,0.0,1,217,,0.0
323,197006060001,14.67428,121.05749499999999,0.0,1,,1,160,,
324,197006060002,52.50153,13.401851,0.0,1,,1,362,,
325,197006060003,52.50153,13.401851,0.0,1,,1,362,,
326,197006060004,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
327,197006060005,37.874043,-122.280022,1.0,0,0.0,1,217,,0.0
328,197006070001,31.950001,35.933331,0.0,0,,1,102,,
329,197006070002,31.950001,35.933331,0.0,0,,1,102,,
330,197006070003,33.96307,-118.232573,1.0,1,0.0,1,217,,0.0
331,197006080001,41.842602,-87.681229,0.0,1,,1,217,,
332,197006080002,37.791927,-122.22590600000001,0.0,1,0.0,1,217,,0.0
333,197006090001,10.063506,-69.334722,0.0,0,,1,222,,
334,197006090002,35.724533,51.405190000000005,0.0,1,,1,94,,
335,197006090003,40.697132,-73.931351,0.0,1,,1,217,,
336,197006090004,31.950001,35.933331,0.0,1,,1,102,,
337,197006090005,31.950001,35.933331,0.0,1,,1,102,,
338,197006090007,40.946915000000004,-90.364659,0.0,1,0.0,1,217,,0.0
339,197006090008,40.731970000000004,-74.174184,0.0,1,0.0,1,217,,0.0
340,197006100001,31.950001,35.933331,0.0,0,,1,102,,
341,197006110001,-22.908278,-43.197026,0.0,0,,1,30,,
342,197006110002,35.724533,51.405190000000005,0.0,1,,1,94,,
343,197006110003,41.260675,-95.940469,1.0,1,0.0,1,217,,0.0
344,197006120001,-34.891151,-56.187214000000004,0.0,1,,1,218,,
345,197006120002,37.005322,-89.176156,0.0,0,0.0,1,217,,0.0
346,197006120003,37.005105,-89.17626899999999,0.0,0,0.0,1,217,,0.0
347,197006130001,41.579662,-93.62150600000001,1.0,1,0.0,1,217,,0.0
348,197006130002,39.176086,-94.574127,0.0,1,0.0,1,217,,0.0
349,197006140001,52.50153,13.401851,0.0,1,,1,362,,
350,197006140002,52.50153,13.401851,0.0,1,,1,362,,
351,197006150001,33.887157,-118.410843,1.0,1,0.0,1,217,,0.0
352,197006170001,37.831455,-122.285164,1.0,-9,0.0,1,217,,0.0
353,197006180001,40.697132,-73.931351,0.0,1,0.0,1,217,,0.0
354,197006180002,40.697132,-73.931351,1.0,-9,0.0,1,217,,0.0
355,197006190001,37.874043,-122.280022,0.0,1,,1,217,,
356,197006190002,37.874043,-122.280022,0.0,1,,1,217,,
357,197006190003,41.842602,-87.681229,0.0,0,0.0,1,217,,0.0
358,197006190004,37.755363,-122.443352,0.0,0,0.0,1,217,,0.0
359,197006210001,41.579662,-93.62150600000001,1.0,0,0.0,1,217,,0.0
360,197006230001,52.50153,13.401851,0.0,1,,1,362,,
361,197006230003,37.755363,-122.443352,0.0,0,0.0,1,217,,0.0
362,197006230004,40.697132,-73.931351,0.0,1,,1,217,,
363,197006250001,32.500640000000004,-94.741075,0.0,1,0.0,1,217,,0.0
364,197006260001,55.011562,-7.3120449999999995,0.0,1,,1,603,,3.0
365,197006270001,55.011562,-7.3120449999999995,0.0,0,,1,603,,
366,197006270002,54.607712,-5.95621,0.0,0,,1,603,,
